SKU,avg_daily_demand,std_daily_demand,lead_time_days,safety_stock_units,reorder_point_units,EOQ_units,annual_demand_units,days_on_hand_eoq,inventory_turns_eoq
100,1.0,0.0,7,0,7,23,42.58333333333333,23.0,1.8514492753623186
1000,1.8125,1.682012683265696,7,7,20,145,176.41666666666666,80.0,1.2166666666666666
1001,18.955555555555556,54.084090903785096,7,235,368,1316,5189.083333333333,69.42555685814771,3.9430724417426544
10021,3.16,1.841195263952197,7,8,30,282,480.5833333333333,89.24050632911393,1.7041962174940897
1003,4.5,4.123105625617661,7,18,50,99,109.5,22.0,1.106060606060606
10030,2.6,1.505545305418162,7,7,25,190,158.16666666666666,73.07692307692308,0.8324561403508771
1004,2.4705882352941178,4.317372567007965,7,19,36,186,255.5,75.28571428571428,1.3736559139784945
1005,6.086956521739131,7.896063961680941,7,34,77,312,1703.3333333333333,51.25714285714285,5.4594017094017095
10051,3.409090909090909,3.36167604043962,7,15,39,123,456.25,36.08,3.709349593495935
10057,6.5,7.7781745930520225,7,34,80,110,79.08333333333333,16.923076923076923,0.7189393939393939
10058,25.733333333333334,23.143521747349876,7,101,281,1135,9392.666666666666,44.10621761658031,8.27547723935389
1006,7.45,24.396882889763646,7,106,158,674,906.4166666666666,90.46979865771812,1.344831849653808
10062,8.979591836734693,8.138104293789716,7,35,98,772,2676.6666666666665,85.97272727272728,3.467184801381692
1007,1.7333333333333334,1.0997835284835875,7,5,17,178,158.16666666666666,102.6923076923077,0.8885767790262171
1009,2.0689655172413794,1.412470846292275,7,6,20,121,365.0,58.48333333333333,3.0165289256198347
1012,2.8333333333333335,4.608950449117916,7,20,40,108,206.83333333333331,38.11764705882353,1.9151234567901232
10121,3.5,4.358898943540674,7,19,44,69,85.16666666666666,19.714285714285715,1.2342995169082125
10122,3.0,2.8284271247461903,7,12,33,55,36.5,18.333333333333332,0.6636363636363637
10124,3.75,5.5,7,24,50,129,91.25,34.4,0.7073643410852714
10127,1.25,0.5,7,2,11,71,30.416666666666664,56.8,0.42840375586854457
1013,2.925925925925926,5.1210420057905415,7,22,42,225,480.5833333333333,76.89873417721519,2.135925925925926
10164,2.347826086956522,1.7217511078754548,7,7,23,202,328.5,86.03703703703702,1.6262376237623761
10175,2.92,2.78268455512538,7,12,32,333,444.0833333333333,114.04109589041096,1.3335835835835834
1019,3.074074074074074,2.615426512149756,7,11,33,193,504.91666666666663,62.78313253012048,2.6161485319516404
1020,2.764705882352941,3.800154795608757,7,17,36,151,285.91666666666663,54.61702127659574,1.8934878587196466
10205,3.9285714285714284,8.704236684726368,7,38,66,157,334.5833333333333,39.96363636363637,2.131104033970276
1021,3.4347826086956523,5.930093414537274,7,26,50,262,480.5833333333333,76.27848101265822,1.8342875318066156
1022,3.142857142857143,2.579818246480544,7,11,33,309,669.1666666666666,98.31818181818183,2.1655879180151025
10227,2.88,2.8478061731796283,7,12,32,296,438.0,102.77777777777779,1.4797297297297298
1023,6.405405405405405,11.243416492081685,7,49,94,235,1441.75,36.68776371308017,6.135106382978724
10235,3.2,3.2776298056457116,7,14,36,236,292.0,73.75,1.2372881355932204
10236,16.641509433962263,20.65848153220017,7,90,206,843,5365.5,50.65646258503402,6.364768683274021
10238,5.613636363636363,5.815840074457875,7,25,64,434,1502.5833333333333,77.31174089068827,3.462173579109063
10239,18.872340425531913,20.200750116589617,7,88,220,876,5395.916666666666,46.417136414881625,6.159722222222221
1024,12.8,22.138491830131976,7,96,186,461,3114.6666666666665,36.015625,6.756326825741142
10242,5.862068965517241,6.5831176826519915,7,29,70,307,1034.1666666666665,52.37058823529412,3.368621064060803
1025,2.3846153846153846,3.2541886223363865,7,14,31,194,188.58333333333331,81.35483870967742,0.9720790378006872
10254,5.27027027027027,5.876736852713079,7,26,63,587,1186.25,111.37948717948719,2.020868824531516
1026,1.5714285714285714,0.7867957924694432,7,3,14,84,66.91666666666666,53.45454545454545,0.796626984126984
10264,6.057142857142857,5.471545953937555,7,24,66,293,1289.6666666666665,48.37264150943396,4.401592718998862
10266,21.596153846153847,23.164594023845805,7,101,252,898,6831.583333333333,41.58147818343722,7.607553823311061
10267,2.4615384615384617,3.2045640529143387,7,14,31,104,194.66666666666666,42.25,1.8717948717948718
10274,1.0,0.0,7,0,7,70,24.333333333333332,70.0,0.3476190476190476
10283,19.6,18.82998728232793,7,82,219,1093,2384.6666666666665,55.765306122448976,2.1817627325404083
1029,2.869565217391304,4.625073442425113,7,20,40,284,401.5,98.96969696969697,1.4137323943661972
10296,8.48936170212766,9.011761253388073,7,39,98,552,2427.25,65.02255639097744,4.397192028985507
10298,5.568181818181818,4.627509889792441,7,20,59,546,1490.4166666666665,98.05714285714285,2.7297008547008543
1030,2.8,3.583914681524163,7,16,36,134,170.33333333333331,47.85714285714286,1.271144278606965
1031,1.5333333333333334,0.7432233529572065,7,3,14,79,139.91666666666666,51.52173913043478,1.771097046413502
1032,1.0,0.0,7,0,7,11,6.083333333333333,11.0,0.553030303030303
1033,1.8235294117647058,1.1850788010532811,7,5,18,109,188.58333333333331,59.774193548387096,1.7301223241590213
10336,3.5,3.5355339059327378,7,15,40,84,42.58333333333333,24.0,0.5069444444444444
1034,1.4285714285714286,0.7867957924694432,7,3,13,156,60.83333333333333,109.2,0.3899572649572649
1035,2.4347826086956523,1.4717363572115556,7,6,23,246,340.66666666666663,101.03571428571428,1.3848238482384823
10357,4.866666666666666,5.62465835488658,7,24,58,426,888.1666666666666,87.53424657534248,2.0848982785602503
10359,1.6666666666666667,1.1547005383792517,7,5,17,37,30.416666666666664,22.2,0.822072072072072
1036,1.8709677419354838,1.3100110809676626,7,6,19,133,352.8333333333333,71.08620689655173,2.652882205513784
1037,2.1538461538461537,2.7339273901036534,7,12,27,126,170.33333333333331,58.5,1.3518518518518516
10370,3.0,0.0,7,0,21,37,18.25,12.333333333333334,0.49324324324324326
10372,4.648648648648648,3.481827555052537,7,15,48,485,1046.3333333333333,104.33139534883722,2.1573883161512026
10374,1.5714285714285714,0.7867957924694431,7,3,14,122,66.91666666666666,77.63636363636364,0.5484972677595628
1038,2.3,1.8945906376340316,7,8,24,147,279.8333333333333,63.913043478260875,1.9036281179138321
10380,1.5,0.7071067811865476,7,3,14,51,18.25,34.0,0.35784313725490197
1039,4.3076923076923075,3.5773692638868617,7,16,46,395,1022.0,91.69642857142857,2.5873417721518988
10398,1.0,0.0,7,0,7,17,6.083333333333333,17.0,0.35784313725490197
10399,1.0,0.0,7,0,7,17,6.083333333333333,17.0,0.35784313725490197
104,1.1875,0.5439056290693572,7,2,10,162,115.58333333333333,136.42105263157896,0.713477366255144
10400,1.3333333333333333,0.5163977794943223,7,2,11,43,48.666666666666664,32.25,1.1317829457364341
10414,1.2222222222222223,0.4409585518440985,7,2,11,98,66.91666666666666,80.18181818181817,0.6828231292517006
10415,2.263157894736842,1.6276126096272245,7,7,23,187,261.5833333333333,82.62790697674419,1.3988413547237075
1042,1.9523809523809523,1.1169686869465265,7,5,19,267,249.41666666666666,136.7560975609756,0.9341448189762797
10420,21.912280701754387,22.671001538903003,7,99,252,1572,7598.083333333333,71.74059247397918,4.833386344359627
10421,26.610169491525422,28.815116332944456,7,125,311,1312,9550.833333333332,49.304458598726114,7.279598577235771
10422,3.5609756097560976,2.5889069169033956,7,11,36,422,888.1666666666666,118.5068493150685,2.104660347551343
1043,1.0,0.0,7,0,7,27,6.083333333333333,27.0,0.22530864197530864
10441,3.4,2.140872096444188,7,9,33,236,517.0833333333333,69.41176470588235,2.1910310734463274
10443,9.170212765957446,8.86448495018224,7,39,103,617,2621.9166666666665,67.28306264501161,4.249459751485683
1045,1.3125,0.704154339142587,7,3,12,71,127.75,54.095238095238095,1.7992957746478873
10451,26.303571428571427,28.002545106963623,7,122,306,1339,8960.75,50.90563475899525,6.692120985810306
