SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
4261,Capt Morgan Spiced Rum,20226,444810.74,21.99304723209751,1969,444810.74,0.013422423811779705,A
3545,Ketel One Vodka,11883,357759.17,30.174105202973124,1749,802569.9099999999,0.02421801566797127,A
1233,Jack Daniels No 7 Black,9578,344712.22000000003,35.99,1803,1147282.13,0.03461990818958494,A
8068,Absolut 80 Proof,11189,288135.11,25.776631016042778,1870,1435417.2399999998,0.04331455338064702,A
3405,Tito's Handmade Vodka,9203,275162.97,29.879714285714286,1750,1710580.2099999997,0.05161775667256399,A
3858,Grey Goose Vodka,9378,225014.22,24.001350737797956,1762,1935594.4299999997,0.05840769215055411,A
2589,Jameson Irish Whiskey,4649,191669.51,41.58488272921109,1407,2127263.9399999995,0.06419143153377166,A
4227,Bacardi Superior Rum Trav,10209,183659.91,17.99,1699,2310923.8499999996,0.06973347656005255,A
1376,Jim Beam,7362,169922.38,23.177941336230308,1841,2480846.2299999995,0.07486098359701455,A
2585,Jameson Irish Whiskey,6940,164426.6,23.787694524495674,1735,2645272.8299999996,0.07982265226340057,A
8680,Crown Royal,4047,162059.53,40.09793237971392,1538,2807332.3599999994,0.08471289321036563,A
2757,Johnnie Walker Red Label,5191,155678.09,29.99,1470,2963010.4499999993,0.0894105704791033,A
5364,Kahlua,4691,149137.09,31.79299251870324,1604,3112147.539999999,0.09391086925344388,A
3876,Smirnoff 80 Proof,7674,144969.26,18.97815931108719,1858,3257116.799999999,0.09828540132387024,A
3802,Three Olives Vodka,7915,142887.85,18.070573951434877,1812,3400004.649999999,0.10259712563217721,A
3650,Patron Silver Tequila,2829,140806.71,49.772608695652174,1150,3540811.359999999,0.10684605032577242,A
2120,Canadian Club,8732,138316.68,15.873808499193114,1859,3679128.039999999,0.11101983691014831,A
3489,Tanqueray,4119,137024.81,33.61156731413262,1493,3816152.849999999,0.11515464056293015,A
8512,Baileys Irish Cream,6489,128932.11,19.88791183294663,1724,3945084.959999999,0.11904524226775184,A
3512,Pinnacle Vodka,7472,126296.28,16.901186059584035,1779,4071381.239999999,0.12285630626321921,A
3102,Smirnoff Traveler,6657,119759.43,17.99,1408,4191140.669999999,0.12647011699296276,A
5138,Fireball Cinnamon Whisky,8418,117783.82,13.9933426183844,1795,4308924.489999999,0.13002431253736527,A
8082,Baileys Irish Cream,3099,112831.01,37.24476735316552,1311,4421755.499999999,0.13342905414799083,A
2663,Dewars White Label,2984,112120.16,38.82739837398374,1230,4533875.659999999,0.13681234544478946,A
1232,Jack Daniels No 7 Black,4806,111201.94,23.218855721393034,1608,4645077.6,0.14016792891692437,A
8159,Jose Cuervo Especial,4264,110831.36,25.996849315068488,1460,4755908.96,0.14351232992117155,A
6570,Kendall Jackson Chard Vt RSV,8274,109159.42,13.511947565543071,1335,4865068.38,0.14680627915964556,A
