SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
4261,Capt Morgan Spiced Rum,20226,444810.74,21.99304723209751,1969,123041.5,22.99,200.0,4.598,3272
3545,Ketel One Vodka,11883,357759.17,30.174105202973124,1749,72288.25,29.99,200.0,5.998,2196
1233,Jack Daniels No 7 Black,9578,344712.22000000003,35.99,1803,58266.166666666664,36.99,200.0,7.398000000000001,1775
8068,Absolut 80 Proof,11189,288135.11,25.776631016042778,1870,68066.41666666666,24.99,200.0,4.998,2334
3405,Tito's Handmade Vodka,9203,275162.97,29.879714285714286,1750,55984.916666666664,28.99,200.0,5.798,1965
3858,Grey Goose Vodka,9378,225014.22,24.001350737797956,1762,57049.5,23.99,200.0,4.798,2181
2589,Jameson Irish Whiskey,4649,191669.51,41.58488272921109,1407,28281.416666666664,39.99,200.0,7.998000000000001,1189
4227,Bacardi Superior Rum Trav,10209,183659.91,17.99,1699,62104.75,17.99,200.0,3.598,2628
1376,Jim Beam,7362,169922.38,23.177941336230308,1841,44785.5,21.99,200.0,4.398,2018
2585,Jameson Irish Whiskey,6940,164426.6,23.787694524495674,1735,42218.33333333333,22.99,200.0,4.598,1916
8680,Crown Royal,4047,162059.53,40.09793237971392,1538,24619.25,39.99,200.0,7.998000000000001,1110
2757,Johnnie Walker Red Label,5191,155678.09,29.99,1470,31578.583333333332,29.99,200.0,5.998,1451
5364,Kahlua,4691,149137.09,31.79299251870324,1604,28536.916666666664,29.99,200.0,5.998,1380
3876,Smirnoff 80 Proof,7674,144969.26,18.97815931108719,1858,46683.5,19.99,200.0,3.9979999999999998,2161
3802,Three Olives Vodka,7915,142887.85,18.070573951434877,1812,48149.58333333333,18.99,200.0,3.798,2252
3650,Patron Silver Tequila,2829,140806.71,49.772608695652174,1150,17209.75,48.99,200.0,9.798000000000002,838
2120,Canadian Club,8732,138316.68,15.873808499193114,1859,53119.666666666664,16.99,200.0,3.3979999999999997,2501
3489,Tanqueray,4119,137024.81,33.61156731413262,1493,25057.25,27.99,200.0,5.598,1338
8512,Baileys Irish Cream,6489,128932.11,19.88791183294663,1724,39474.75,19.99,200.0,3.9979999999999998,1987
3512,Pinnacle Vodka,7472,126296.28,16.901186059584035,1779,45454.666666666664,16.99,200.0,3.3979999999999997,2313
3102,Smirnoff Traveler,6657,119759.43,17.99,1408,40496.75,17.99,200.0,3.598,2122
5138,Fireball Cinnamon Whisky,8418,117783.82,13.9933426183844,1795,51209.5,13.99,200.0,2.798,2706
8082,Baileys Irish Cream,3099,112831.01,37.24476735316552,1311,18852.25,33.99,200.0,6.798000000000001,1053
2663,Dewars White Label,2984,112120.16,38.82739837398374,1230,18152.666666666664,29.99,200.0,5.998,1100
1232,Jack Daniels No 7 Black,4806,111201.94,23.218855721393034,1608,29236.5,22.99,200.0,4.598,1595
8159,Jose Cuervo Especial,4264,110831.36,25.996849315068488,1460,25939.333333333332,25.99,200.0,5.198,1413
6570,Kendall Jackson Chard Vt RSV,8274,109159.42,13.511947565543071,1335,50333.5,10.99,200.0,2.198,3027
11219,Josh Cellars Cab Svgn Sonoma,7248,108554.52,14.989302163293791,1433,44092.0,12.99,200.0,2.5980000000000003,2605
8112,Stolichnaya,3629,96957.70999999999,26.701465451784355,1317,22076.416666666664,24.99,200.0,4.998,1329
3180,New Amsterdam Vodka,6340,95934.6,15.284563843236409,1582,38568.33333333333,16.99,200.0,3.3979999999999997,2131
6650,Simi Chard,8458,93369.42,11.177963726298435,1213,51452.83333333333,14.99,200.0,2.998,2620
2114,Black Velvet Canadian Whisky,6858,91191.42,13.340561797752809,1780,41719.5,12.99,200.0,2.5980000000000003,2534
1476,Jim Beam Traveler,4015,88839.84999999999,22.145712050078245,1278,24424.583333333332,21.99,200.0,4.398,1490
6579,J Lohr Riverstone Chard,7919,86846.81,11.020642750373693,1338,48173.916666666664,8.99,200.0,1.798,3274
