SKU,avg_daily_demand,std_daily_demand,sales_days,EOQ_units,annual_demand_units,lead_time_days,safety_stock_units,reorder_point_units
100,1.0,0.0,7,23,42.58333333333333,7,0,7
1000,1.8125,1.682012683265696,16,153,176.41666666666666,7,7,20
1001,18.955555555555556,54.084090903785096,45,1316,5189.083333333333,7,235,368
10021,3.16,1.841195263952197,25,272,480.5833333333333,7,8,30
1003,4.5,4.123105625617661,4,92,109.5,7,18,50
10030,2.6,1.505545305418162,10,178,158.16666666666666,7,7,25
1004,2.4705882352941178,4.317372567007965,17,176,255.5,7,19,36
1005,6.086956521739131,7.896063961680941,46,312,1703.3333333333333,7,34,77
10051,3.409090909090909,3.36167604043962,22,123,456.25,7,15,39
10057,6.5,7.7781745930520225,2,110,79.08333333333333,7,34,80
10058,25.733333333333334,23.143521747349876,60,1159,9392.666666666666,7,101,281
1006,7.45,24.396882889763646,20,674,906.4166666666666,7,106,158
10062,8.979591836734693,8.138104293789716,49,772,2676.6666666666665,7,35,98
1007,1.7333333333333334,1.0997835284835875,15,178,158.16666666666666,7,5,17
1009,2.0689655172413794,1.412470846292275,29,121,365.0,7,6,20
1012,2.8333333333333335,4.608950449117916,12,104,206.83333333333331,7,20,40
10121,3.5,4.358898943540674,4,69,85.16666666666666,7,19,44
10122,3.0,2.8284271247461903,2,55,36.5,7,12,33
10124,3.75,5.5,4,129,91.25,7,24,50
10127,1.25,0.5,4,71,30.416666666666664,7,2,11
1013,2.925925925925926,5.1210420057905415,27,262,480.5833333333333,7,22,42
10164,2.347826086956522,1.7217511078754548,23,203,328.5,7,7,23
10175,2.92,2.78268455512538,25,333,444.0833333333333,7,12,32
1019,3.074074074074074,2.615426512149756,27,184,504.91666666666663,7,11,33
1020,2.764705882352941,3.800154795608757,17,140,285.91666666666663,7,17,36
10205,3.9285714285714284,8.704236684726368,14,157,334.5833333333333,7,38,66
1021,3.4347826086956523,5.930093414537274,23,262,480.5833333333333,7,26,50
1022,3.142857142857143,2.579818246480544,35,309,669.1666666666666,7,11,33
10227,2.88,2.8478061731796283,25,296,438.0,7,12,32
1023,6.405405405405405,11.243416492081685,37,250,1441.75,7,49,94
10235,3.2,3.2776298056457116,15,242,292.0,7,14,36
